A. 保险公司维度 | Carrier Dimension,,,,,,,
📌 sign_year=2026；status IN(生效/尚欠/已签/pending/待批核/排期)；全17家保司列出(零业务保留)；按APE降序,,,,,,,
保险公司,件数,APE,年总保费(HKD),件数占比,APE件均,年总保费件均,APE占比
永明,865,334886759,660899911,80.5%,387152,764046,77.8%
澳门中国人寿,19,43700000,43700000,1.8%,2300000,2300000,10.1%
安盛,85,32211363,32211363,7.9%,378957,378957,7.5%
万通,22,7500472,7500472,2.0%,340931,340931,1.7%
立桥,48,5836610,58366097,4.5%,121596,1215960,1.4%
太平洋,11,3003041,6477941,1.0%,273004,588904,0.7%
宏利,3,1170000,1170000,0.3%,390000,390000,0.3%
永明金融有限公司,2,460200,460200,0.2%,230100,230100,0.1%
中银人寿,2,410017,410017,0.2%,205008,205008,0.1%
微蓝保险有限公司,1,390000,3900000,0.1%,390000,3900000,0.1%
友邦,10,377427,377427,0.9%,37743,37743,0.1%
中国人寿,2,306000,306000,0.2%,153000,153000,0.1%
保诚,1,234000,234000,0.1%,234000,234000,0.1%
安达人寿保险有限公司,1,68000,68000,0.1%,68000,68000,0.0%
中国太平保险（香港）有限公司,1,23400,234000,0.1%,23400,234000,0.0%
保柏（亚洲）有限公司,2,19720,19720,0.2%,9860,9860,0.0%
周大福,0,0,0,0.0%,0,0,0.0%
澳门太平,0,0,0,0.0%,0,0,0.0%
保柏,0,0,0,0.0%,0,0,0.0%
富卫,0,0,0,0.0%,0,0,0.0%
忠意,0,0,0,0.0%,0,0,0.0%
信诺,0,0,0,0.0%,0,0,0.0%
合计,1075,430597009,816335149,100.0%,400555,759382,100.0%

B. 产品TOP20—年总保费 | Product TOP20 by Premium,,,,,,,
📌 ⭐ 联合主键=产品名称+年期+首年特殊折扣(SQ_rate)；sign_year=2026；status非流失；按年总保费降序,,,,,,,
排名,保司,产品名称,年期,首年折扣,件数,年总保费(HKD),年总保费(HKD)件均
1,永明,永誉传承储蓄计划,1.0,2.50%,13,167700000,12900000
2,永明,永誉传承储蓄计划,1.0,3.50%,8,116781600,14597700
3,永明,万年青·卓金保险计划II,5.0,21%,46,27565200,599243
4,永明,万年青·星河尊享保险计划II,2.0,8%,18,18204000,1011333
5,永明,永誉传承储蓄计划,1.0,7%,2,15600000,7800000
6,永明,万年青·星河尊享保险计划II,2.0,6%,33,15243660,461929
7,永明,万年青·星河尊享保险计划II,5.0,20%,9,12480000,1386667
8,永明,万年青·星河传承保险计划II,5.0,20%,3,9750000,3250000
9,立桥,智选储蓄保（20年保障期）,1.0,2.00%,2,9750000,4875000
10,永明,永誉传承储蓄计划,1.0,8%,1,7800000,7800000
11,永明,万年青·星河传承保险计划II,2.0,8%,2,6240000,3120000
12,永明,万年青·卓金保险计划II,5.0,59%,15,6240000,416000
13,永明,万年青·星河传承保险计划II,5.0,100%,13,5986500,460500
